timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-06-23,98.77,100.64,97.55,100.6,16.7417,2678304,0.0,1.0
2016-06-24,90.0,94.35,87.6,88.28,14.6914,6781303,0.0,1.0
2016-06-27,86.27,86.39,81.8,83.14,13.836,4948131,0.0,1.0
2016-06-28,85.67,88.47,85.59,88.35,14.703,4155575,0.0,1.0
2016-06-29,90.51,93.59,90.34,92.94,15.4669,4342965,0.0,1.0
2016-06-30,93.5,96.43,92.6,96.32,16.0294,3454358,0.0,1.0
2016-07-01,96.15,98.81,96.04,97.64,16.2491,2738042,0.0,1.0
2016-07-05,96.38,96.56,94.36,95.91,15.9612,2727913,0.0,1.0
2016-07-06,94.6,98.3812,93.67,98.17,16.3373,3614093,0.0,1.0
2016-07-07,98.61,99.8,97.75,99.1,16.492,2629834,0.0,1.0
2016-07-08,100.57,103.92,100.3,103.68,17.2542,3125860,0.0,1.0
2016-07-11,104.86,106.6566,104.76,105.45,17.5488,2971846,0.0,1.0
2016-07-12,107.41,107.96,106.6921,107.11,17.825,2412289,0.0,1.0
2016-07-13,107.98,108.04,106.29,106.36,17.7002,2633626,0.0,1.0
2016-07-14,108.47,109.1,107.71,108.52,18.0597,2289668,0.0,1.0
2016-07-15,109.22,109.41,107.25,107.91,17.9582,1779522,0.0,1.0
2016-07-18,108.2,110.68,108.11,110.06,18.316,1747082,0.0,1.0
2016-07-19,109.0,109.92,108.335,108.92,18.1262,1638870,0.0,1.0
2016-07-20,110.59,113.322,110.27,112.65,18.747,1890104,0.0,1.0
2016-07-21,112.99,113.58,111.02,111.98,18.6355,2350144,0.0,1.0
2016-07-22,112.24,113.7,111.1396,113.28,18.8518,1808432,0.0,1.0
2016-07-25,113.03,113.39,112.2,113.38,18.8685,1588370,0.0,1.0
2016-07-26,113.27,114.96,112.0,113.76,18.9317,2840701,0.0,1.0
2016-07-27,116.55,116.9699,114.61,115.98,19.3012,2720103,0.0,1.0
2016-07-28,116.62,117.68,115.52,117.24,19.5108,1814986,0.0,1.0
2016-07-29,118.08,118.98,116.94,118.01,19.639,2138157,0.0,1.0
2016-08-01,118.3,120.77,117.86,119.86,19.9469,2194052,0.0,1.0
2016-08-02,119.35,119.69,114.87,117.16,19.4975,3356414,0.0,1.0
2016-08-03,116.9,118.33,116.6741,118.27,19.6823,1777808,0.0,1.0
2016-08-04,118.24,119.67,117.37,119.33,19.8587,1750571,0.0,1.0
2016-08-05,121.26,123.55,120.7501,122.78,20.4328,2572456,0.0,1.0
2016-08-08,122.99,123.058,121.17,122.39,20.3679,1581260,0.0,1.0
2016-08-09,122.6,124.3272,122.4,123.2,20.5027,1662867,0.0,1.0
2016-08-10,123.29,123.48,121.2501,122.25,20.3446,1827454,0.0,1.0
2016-08-11,123.4,124.5992,122.73,123.83,20.6075,1430178,0.0,1.0
2016-08-12,123.1,124.06,122.74,124.06,20.6458,1422433,0.0,1.0
2016-08-15,124.5,126.445,124.38,125.62,20.9054,1192766,0.0,1.0
2016-08-16,124.89,125.0,123.4681,123.64,20.5759,1304115,0.0,1.0
2016-08-17,123.64,124.31,121.58,124.22,20.6724,1871628,0.0,1.0
2016-08-18,123.83,124.82,123.2,124.34,20.6924,1182365,0.0,1.0
2016-08-19,123.66,124.97,122.6198,124.17,20.6641,1533678,0.0,1.0
2016-08-22,123.58,125.09,122.94,124.29,20.6841,1525897,0.0,1.0
2016-08-23,125.8,126.52,124.9401,125.03,20.8072,1305297,0.0,1.0
2016-08-24,124.85,125.39,121.451,122.62,20.4062,1483286,0.0,1.0
2016-08-25,121.65,123.16,121.23,122.04,20.3097,1217647,0.0,1.0
2016-08-26,122.2,124.96,120.4,122.63,20.4078,2235671,0.0,1.0
2016-08-29,122.7,124.0749,122.63,122.97,20.4644,1038224,0.0,1.0
2016-08-30,122.52,123.55,120.62,121.86,20.2797,1369815,0.0,1.0
2016-08-31,121.33,121.8779,119.95,121.54,20.2264,1492010,0.0,1.0
2016-09-01,121.62,122.82,119.82,122.08,20.3163,1790690,0.0,1.0
2016-09-02,124.25,124.99,122.208,123.51,20.5543,1890357,0.0,1.0
